gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Cct3,5191.474081685012,-9.238027546155348e-4,0.014399430101729121,0.8142012163130569,0.9729818822442335
Glmp,949.3714591118019,0.007231272591410785,0.041924991882582044,0.41373566928188626,0.887678087169604
Mef2d,3159.2690960596274,-8.481102695659347e-4,0.020658488647751785,0.8815132564226843,0.9829407165551202
Snd1,3220.221257886513,0.024662460009789722,0.06453049026409913,0.077767023139133,0.6390488265696067
Col18a1,107.96962899414044,0.0045794340297670945,0.04338269092927031,0.5816421900372432,0.9324697216058302
Slc19a1,1220.199067822671,-0.004660553907067802,0.026264093669064462,0.4963368722224121,0.9146216763757007
Kpnb1,11465.124115880724,-0.0032199358111000167,0.022789429041335792,0.5971324569178118,0.9338461369913265
Npepps,5335.372274115949,-0.004559740963642508,0.02689024842438576,0.514402824212506,0.9217835168174776
Mrpl10,1295.137128659019,0.006071955030726097,0.026578917029628783,0.37591344748939476,0.8758278506098667
Cyp51,7200.333609589082,0.5493547607491885,0.18375328119841905,7.92059026726902e-6,0.00320442727790862
Tcf25,20409.110185677124,-0.004912282975283314,0.022851011096952,0.4078264958168763,0.8862749077193525
Tubb6,235.77083958950357,-0.003628727629769397,0.03992207017707273,0.6583296930258182,0.9482956690534972
Def8,3076.6447701199318,-0.04695594305676916,0.06626970083309736,0.021866245321802365,0.4223660460001926
Itga3,5063.704736597659,-0.004425774841441838,0.026917200113881996,0.5273612872173141,0.9224167507318143
Foxm1,132.9318258167533,0.008324370616841105,0.05010929938877354,0.3543989369315455,0.8713098218671399
Itfg2,604.3530546436011,0.0021086251171526828,0.03994299792151592,0.79319503573151,0.9693576769207517
Nrip2,438.87435005615913,0.011997244554525166,0.06798080244564292,0.18853261976805002,0.7881050374500234
Tulp3,1466.685073752946,-0.01937414862976295,0.04469847626380548,0.09604429397844738,0.6676487659291845
Gtf2h4,298.9044673789467,0.015476952514617151,0.05437020716768823,0.16325444976897882,0.7619015853006449
Tubb5,84542.48851149715,-0.3179280993679266,0.13425918427927505,4.625375212213313e-5,0.010359158520735198
Ell2,479.1552029651274,-0.006878716387430533,0.047293362027637814,0.42899929003452786,0.8900816351906307
Jup,19549.103492735274,-0.00876488527185306,0.03332056446340243,0.2933826456668152,0.8563714287497227
Nom1,999.5865464471858,2.2469593780105615e-5,0.03449117304132261,0.9977165673564801,0.9995972527222509
Ergic1,3550.062147546973,0.0010807872857830434,0.02320773030353085,0.8635506413064933,0.981108513238476
Ifrd1,1678.72179171105,0.7486078648966206,0.1282182716961431,1.408883449751696e-10,5.784875444680463e-7
Stk38l,642.8999232580288,0.02336027265259043,0.06022682296677582,0.08542705553390029,0.6511728468388489
