gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Ddx3x,7547.987590939757,-0.2092604940507615,0.07547413846803028,5.437738001328475e-4,0.008289858502520316
Usp32,7291.116671380559,-0.008564173020387951,0.04733707389752884,0.823313107191252,0.9255854936007757
Txnrd3,129.06438689259954,0.1219534102490433,0.1602286127181559,0.07152403008850321,0.2439596901428441
Zfp512b,7551.211766517982,0.015042811638521312,0.05286981219893306,0.7212487812488778,0.8749991357590744
Dnajc5,11606.898875095041,-0.059930066962641186,0.05230779665899222,0.15268111121061073,0.38696486085472576
Tpd52l2,1684.835522796658,-0.033505308300108026,0.056405671831431345,0.4497825686075882,0.6989304503731892
Fmr1,1592.9237885567059,-0.0848070605482328,0.06864240886582555,0.10679852919064588,0.3115188923917537
Bcl11a,1692.7925148404593,0.12293940482533523,0.11266776115060308,0.06498053193770192,0.23007478942472329
Pxmp4,604.6139424425077,0.05520495574231801,0.07954664304768327,0.32599051927870293,0.5892224822413885
Dlg3,339.76698497711374,0.06952267739397582,0.10822578848821378,0.2551989069281396,0.5139022618180192
Gnb1l,146.61726253741338,0.023896665300516994,0.11921086702297129,0.6626807952517937,0.8428718346212593
Mmp11,91.62949399643063,0.03738833525313851,0.13312597963153958,0.48090662881322105,0.7228563579891711
Smarcb1,2444.7267923631966,-0.1500262861810779,0.06516981639891706,0.005477014301719479,0.04465635826403649
Hip1r,1194.9887106714089,0.21174177031045485,0.18108945773468066,0.011729663814425393,0.07501869100004777
Nsun5,429.7085593742024,0.01752922630616844,0.0844652945006044,0.7568312770007115,0.8925464499851378
Top1mt,644.3812705660446,-0.30104526184430674,0.10376873415159397,5.3670372507048055e-5,0.001357518785506813
Hoxa10,449.00759521134466,-0.08245798921444683,0.1063858561074996,0.18583089017010954,0.43257146306577243
Hoxa4,168.7965117610178,0.055108952994356177,0.10053617692294055,0.3571294473072472,0.616624761447267
Gm38393,1909.1893594324858,0.12951002835253236,0.09673068243672336,0.04493678818090909,0.18190522749370758
Slc7a7,518.5571603993249,-0.2746621775574114,0.20026045615745364,0.003945891912174512,0.03509422135318819
Oxa1l,1516.769838512568,0.08699330122455345,0.06994885064046445,0.1027904730351327,0.30488154270329026
Heatr6,1640.198398625329,0.06456270026379118,0.05924302756760089,0.16554552432321049,0.40629403638440065
Ilf2,1694.9575063576408,-0.045170843615573275,0.053642613987593776,0.28759176603479636,0.5501509442897516
Chtop,2767.9267404211982,-0.061354319496941735,0.048813704841113276,0.12103488107329757,0.33609280096052285
Snapin,931.6661458855713,0.003433179061509673,0.06697015919201241,0.9457070233425494,0.9798325241568654
Mapk7,2711.03633451907,0.04109017405203299,0.056440876592411315,0.35411423374933265,0.6143632579329972
Epn2,3838.7210037702466,0.0762583522380215,0.05277538771906381,0.07648676369828053,0.2537473620348558
B9d1,103.45757393616,0.07557810280022312,0.11952900624427593,0.21782798926015035,0.4709713894554515
