gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Nhp2,761.1493324147605,0.16055226162878122,0.06789737974081095,0.008002437252018988,0.0239881982468508
Vps9d1,1707.0147302155044,-0.049933947448184905,0.08658098921178224,0.49479233326013927,0.6320493581974899
Zfp276,900.4525502353808,-0.0070868829073192,0.07851423785498678,0.9171075885144462,0.9495522749620139
Mfsd10,550.5973896631778,0.14564439775021376,0.13353564035285093,0.1387004853534233,0.243914338234813
Luzp1,2238.7220874724367,-0.07520298346904428,0.10092279361427846,0.35580727172540566,0.49814248025678304
Kctd10,2028.026410976124,0.03845257075372499,0.08459642567688756,0.5929685929135065,0.713299524170759
Poldip2,1715.9872780966155,0.017491608040668627,0.057148218894915156,0.7400470452362642,0.8284927298408212
Ift20,624.3420098620214,-0.046362805448796354,0.07979378861335029,0.5007888122447557,0.6367378808041805
Pcbp3,11868.845558789833,-0.5926941216472824,0.06542600020036296,4.679678405513854e-21,2.6811292371683563e-19
Lgals9,1190.5487076118013,-0.3060526578606995,0.1517992075422556,0.007002403699156906,0.021417453184902204
Araf,2621.300210204836,-0.06283482369641956,0.059686745645784176,0.24963158206944475,0.38293422514712583
Cfp,136.85410651116877,-0.010927837097710846,0.13799778659894604,0.9111406320041551,0.9453698033210228
Uxt,103.64524255455164,-0.34625928216281826,0.2051439609623325,0.011287729761656852,0.03208173862577044
Cnnm3,362.9213395822586,-0.4208263288515437,0.18346457026402713,0.0017131066820663318,0.006367546200872986
Lman2l,1699.7518891656393,-0.003908638365407571,0.08808351548636587,0.957935145428839,0.9736745260783785
Mcm3ap,2758.802124104892,0.10018023720060867,0.050275235621345296,0.03298224130351658,0.07811483337371992
Pcnt,642.1657422244244,-0.5964472223255994,0.17610660933153616,2.482420712766592e-5,1.5145348360504646e-4
Mxd1,459.5015722787758,-1.0161100415726405,0.2102163365142492,4.581576985738324e-8,4.972322934830368e-7
Gmcl1,2153.3604176807007,0.23037159762312667,0.06167379358880947,4.526545707532791e-5,2.5813884271013387e-4
